Cenário,Estratégia,Renda Mensal 2026,Renda Mensal 2027,Renda Mensal 2028,Capital Final 2028,Total Resgatado 3 anos
Realista,Sem Reinvestimento,8108.48515625,7432.569791666666,7284.8458333333365,1000000.0,273910.809375
Realista,Reinvest 15%,6892.2123828124995,6409.892652114303,6366.545770322185,1041651.2605287626,236023.80966298783
Realista,Reinvest 20%,6486.788124999999,6061.768246444094,6047.270983299141,1055787.4820642297,223149.92825691882
Otimista,Sem Reinvestimento,7884.052083333337,7232.463541666667,7176.600000000001,1000000.0,267517.38750000007
Otimista,Reinvest 15%,6701.444270833336,6234.836322874231,6267.2193203558445,1040666.2351121343,230441.99896876092
Otimista,Reinvest 20%,6307.2416666666695,5895.451382299688,5951.4572326445095,1054462.4508448327,217849.8033793304
Pessimista,Sem Reinvestimento,8517.41666666667,7953.997395833331,7775.662500000001,1000000.0,290964.91875
Pessimista,Reinvest 15%,7239.804166666669,6864.551476736749,6806.720401673537,1044282.2786836923,250932.91254092343
Pessimista,Reinvest 20%,6813.933333333335,6493.27313583958,6468.863631173054,1059328.2103010379,237312.84120415166
