Cenário,Ano,Capital Inicial,Renda Anual Bruta,IR Pago,Renda Anual Líquida,Valor Reinvestido,Valor Resgatado,Capital Final,Renda Mensal Resgatada
Realista - Reinvest 20%,2025,1000000.0,124881.24999999997,13366.71875,111514.53124999997,22302.906249999996,89211.62499999997,1022302.90625,7434.302083333331
Realista - Reinvest 20%,2026,1022302.90625,112114.80963766796,12642.874351435647,99471.93528623231,19894.387057246466,79577.54822898585,1042197.2933072464,6631.462352415488
Realista - Reinvest 20%,2027,1042197.2933072464,104271.31809674333,11316.868666436887,92954.44943030644,18590.88988606129,74363.55954424516,1060788.1831933076,6196.963295353763
Otimista - Reinvest 20%,2025,1000000.0,124343.74999999994,13272.656249999985,111071.09374999996,22214.218749999993,88856.87499999997,1022214.21875,7404.739583333331
Otimista - Reinvest 20%,2026,1022214.21875,108574.48324453131,11864.201553144536,96710.28169138677,19342.056338277354,77368.22535310942,1041556.2750882774,6447.352112759118
Otimista - Reinvest 20%,2027,1041556.2750882774,100773.17350547858,10376.960071437337,90396.21343404124,18079.24268680825,72316.97074723299,1059635.5177750858,6026.4142289360825
Pessimista - Reinvest 20%,2025,1000000.0,125687.49999999999,13507.8125,112179.68749999999,22435.9375,89743.74999999999,1022435.9375,7478.645833333332
Pessimista - Reinvest 20%,2026,1022435.9375,118265.16489062502,13763.010154687494,104502.15473593753,20900.430947187506,83601.72378875002,1043336.3684471875,6966.810315729169
Pessimista - Reinvest 20%,2027,1043336.3684471875,112282.55580182571,12698.218710540124,99584.33709128559,19916.86741825712,79667.46967302848,1063253.2358654446,6638.955806085706
